epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.018,2.53399,2.74579,2.14577,0.14025,0.18866,0.08202,0.02302,2.6148,2.77446,2.23205,0.000554969,0.000554969,0.000554969
2,343.662,2.48638,2.51734,2.0936,0.13384,0.17488,0.07944,0.02434,2.5694,2.71199,2.23911,0.00107399,0.00107399,0.00107399
3,498.311,2.45917,2.47389,2.07901,0.17315,0.18783,0.1005,0.0306,2.53276,2.50304,2.16398,0.00155633,0.00155633,0.00155633
4,652.245,2.43645,2.43864,2.05519,0.19522,0.18137,0.10099,0.03181,2.49713,2.43919,2.14313,0.00150197,0.00150197,0.00150197
5,805.259,2.40217,2.41285,2.03404,0.2078,0.19697,0.11961,0.0383,2.42123,2.40026,2.0855,0.00144696,0.00144696,0.00144696
6,960.209,2.38137,2.37374,2.00728,0.19197,0.18761,0.10919,0.03545,2.43794,2.49086,2.16368,0.00139195,0.00139195,0.00139195
7,1114.04,2.35543,2.34501,1.98509,0.23559,0.19758,0.14615,0.04978,2.34091,2.23624,2.02414,0.00133693,0.00133693,0.00133693
8,1268.83,2.34048,2.31696,1.97363,0.23919,0.22264,0.15137,0.05134,2.32072,2.28196,2.00674,0.00128192,0.00128192,0.00128192
9,1423.24,2.3205,2.30011,1.95278,0.25206,0.20368,0.15578,0.05426,2.31918,2.20536,2.0069,0.00122691,0.00122691,0.00122691
10,1579.24,2.29613,2.27652,1.93988,0.26856,0.2318,0.1711,0.05882,2.29753,2.18872,1.95935,0.0011719,0.0011719,0.0011719
11,1733.64,2.29872,2.27111,1.93127,0.2374,0.19536,0.14775,0.05193,2.29968,2.2137,1.99813,0.00111689,0.00111689,0.00111689
12,1887.03,2.28841,2.26826,1.92973,0.25528,0.2094,0.15822,0.05584,2.3173,2.21144,1.97934,0.00106188,0.00106188,0.00106188
13,2042.07,2.27277,2.24027,1.91044,0.26302,0.2288,0.17791,0.06413,2.27692,2.12904,1.91889,0.00100687,0.00100687,0.00100687
14,2197.18,2.26288,2.22844,1.90006,0.26776,0.23675,0.17548,0.06345,2.25808,2.12263,1.94773,0.000951857,0.000951857,0.000951857
15,2354.16,2.2498,2.22033,1.89456,0.27654,0.23225,0.18107,0.06597,2.22878,2.11817,1.93475,0.000896846,0.000896846,0.000896846
16,2510.98,2.2416,2.20825,1.89596,0.27891,0.23562,0.18768,0.06702,2.24333,2.09491,1.9211,0.000841835,0.000841835,0.000841835
17,2667.07,2.23855,2.18481,1.88378,0.27296,0.23984,0.18401,0.06818,2.19713,2.09454,1.92541,0.000786824,0.000786824,0.000786824
18,2822.5,2.21841,2.18756,1.87674,0.29084,0.25087,0.20073,0.07222,2.20768,2.05503,1.88375,0.000731813,0.000731813,0.000731813
19,2978,2.21474,2.16789,1.87614,0.30575,0.25473,0.20249,0.07394,2.19825,2.05464,1.89264,0.000676802,0.000676802,0.000676802
20,3133.75,2.1992,2.16216,1.86159,0.29607,0.25532,0.20245,0.07327,2.2128,2.05506,1.87904,0.000621791,0.000621791,0.000621791
21,3284.94,2.26382,2.20906,1.95699,0.29273,0.25837,0.20726,0.07663,2.18415,2.01552,1.86674,0.00056678,0.00056678,0.00056678
22,3434.65,2.2446,2.18691,1.94967,0.29023,0.26097,0.20769,0.07814,2.16919,2.00872,1.86693,0.000511769,0.000511769,0.000511769
23,3582.94,2.22842,2.16658,1.92556,0.29359,0.25494,0.212,0.07966,2.16017,2.01396,1.85352,0.000456758,0.000456758,0.000456758
24,3729.48,2.21872,2.15708,1.92218,0.3116,0.26289,0.2195,0.08167,2.16155,1.99612,1.84541,0.000401747,0.000401747,0.000401747
25,3876.66,2.20831,2.1375,1.9106,0.31778,0.26846,0.22555,0.0853,2.13654,1.96915,1.83955,0.000346736,0.000346736,0.000346736
26,4023.61,2.18644,2.11337,1.88921,0.31913,0.27768,0.23006,0.08699,2.13003,1.95759,1.82544,0.000291725,0.000291725,0.000291725
27,4172.76,2.18054,2.10278,1.88685,0.3269,0.2791,0.23635,0.08974,2.1192,1.94003,1.81601,0.000236714,0.000236714,0.000236714
28,4321.73,2.16737,2.09294,1.87121,0.33194,0.28219,0.24176,0.09309,2.1147,1.9326,1.81561,0.000181703,0.000181703,0.000181703
29,4471.97,2.155,2.07657,1.86825,0.3324,0.28395,0.24657,0.094,2.12239,1.91867,1.81273,0.000126692,0.000126692,0.000126692
30,4619.86,2.15432,2.06043,1.8531,0.33617,0.2854,0.24829,0.09494,2.10106,1.90845,1.79702,7.1681e-05,7.1681e-05,7.1681e-05
